ITS2 type profile UID		491845	491811	492846	493242	491765	491914	491769	491771	491781	493014	492288	493016	492632	493292	493402	491943	493243	493241	491849	491880	493015	491996	493145	493232	492848	493013	493668	491763	492123	491689	492209	491719	491720	492241	491737	491768	491770	493329	493398	493011	492521	493665	493666	493667	491690	491691	493239	492292	492847	492851	492863	493379	493380	491865	491869	491379	492414	491917	491936	492460	493009	493010	492017	494017	494099	494098	493774	494010	494143	494254	494126	494142	494517	494020	494094	494096	494110	494127	493709	494251	494252	494253	494255	494256	494257	493778	493780	493849	494012	494019	494283	494363
Clade		C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	F	F
Majority ITS2 sequence		C1d	C1d	C1d	C1d	C1d	C1d/C42a	C1d	C42a	C42a	C1d	C42a	C42a/C1d	C3	C1d/C1bi	C1d	C42a	C1d/C42a/C42.2	C1d	C1d	C42a	C1d/C42a	C1d/C42.2	C1b/C3	C1d/C42.2/C42a	C1d	C1d	C1k	C1d	C3	C1d	C1d	C1d	C1d	C1d	C1d	C1d	C42a	C42a	C1b	C1mt/C1d	C1d	C42en	C1or	C42eo	C1d	C1d	C42a	C3	C42a	C1d	C1d	C1	C3	C42a	C42a	C42a	C1d	C1d	C42a	C42a	C1d	C42a	C1d	D1/D1as/D1ba	D1	D1	D1/D1ba	D1	D4	D1dy	D1/D1as	D1	D1bd	D1	D1	D1	D1	D1at	D1	D1my	D1mz	D1na	D1mw	D1ig	D1nb	D1	D1	D1	D1as	D1	F3.1/F3g	F3aa
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		56	50	41	29	29	29	28	25	17	15	13	13	8	7	7	7	6	5	5	5	5	5	4	4	4	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	263	21	13	10	8	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
ITS2 profile abundance DB		188	200	90	40	94	32	40	153	28	16	32	49	83	28	64	32	6	5	729	144	6	22	235	7	15	4	6	7	158	9	10	27	7	18	10	8	7	20	43	3	2	1	1	1	4	13	1	34	16	52	16	108	93	1	3	13	1	7	56	217	1	2	28	431	21	13	106	62	48	3	9	104	8	8	1	1	13	1	50	1	2	1	1	1	1	3	14	3	3	2	10	2
ITS2 type profile		C1d/C42.2/C1/C3cg-C1b-C3cw-C115k-C45c	C1d-C42.2-C1-C1k-C1b-C3cg	C1d/C1-C1mt-C42.2-C3cg-C1b-C3cw	C1d-C1mt-C1nq-C42.2-C1-C42em	C1d-C42.2-C1-C1b-C3cg-C3cw	C1d/C42a/C42.2-C1-C1b	C1d-C42.2-C1-C1b-C3cg-C3cw-C45c	C42a/C42.2/C1/C42b-C1b-C1az-C1au-C3	C42a/C42.2-C42ak-C1-C1b-C42al	C1d-C42.2-C1-C1nr	C42a/C1/C42.2-C1b-C1au-C3-C115k	C42a/C1d-C1mt-C42.2-C1-C1b	C3/C3dc	C1d/C1bi-C42.2-C1	C1d	C42a/C42.2-C1-C42ak-C1b-C1j	C1d/C42a/C42.2-C1mt	C1d-C1mt-C1nq	C1d/C1/C42.2/C3-C1b-C3cg-C45c-C115k-C1au-C41p	C42a/C42.2/C1/C1b-C1j-C1au-C3	C1d/C42a-C1mt-C42.2-C1-C1nq	C1d/C42.2	C1b/C3	C1d/C42a/C42.2-C1	C1d-C1mt-C42.2-C1-C3cg-C1b	C1d-C1mt-C42.2-C1-C42em	C1k	C1d/C1-C42.2-C1b-C3cg-C1au	C3/C115d	C1d/C1-C42.2	C1d-C42.2-C1-C1k-C3cg	C1d/C42.2/C1-C1b-C3cg-C45c-C115k-C1au	C1d-C42.2-C1-C3cg-C1b-C45c-C115k	C1d/C1	C1d/C1-C42.2-C1b	C1d/C1-C42.2-C3-C1b-C3cg	C42a/C42.2-C1b-C1-C42b-C1au	C42a/C42.2/C1b	C1b	C1d/C1mt-C42.2-C1-C3cg	C1d-C42.2-C1bi	C42en	C1or	C42eo	C1d-C42.2-C1-C1k	C1d-C42.2-C1-C3cg-C1b	C42a-C42ak-C42.2-C1	C1/C3/C42.2	C42a-C42.2-C1-C42ak-C1b	C1d/C1/C42.2-C3cg-C1b-C115k-C45c-C42ap	C1d-C42.2-C1-C1k-C1b	C1	C3	C42a-C42.2-C1-C42b-C1b-C1az	C42a/C42.2/C3-C1-C1b-C1au	C42.2/C42a/C1-C1b	C1d-C1k-C42.2	C1d-C42.2-C1-C3cg-C1b-C45c	C42a/C1-C42.2-C42b-C1az-C1b-C115d-C1au	C42a/C1/C42.2/C1b/C1j-C1au-C3-C115l	C1d-C42.2-C1nq-C1mt-C1	C42a/C1d-C42.2-C1-C1mt	C1d/C1/C42.2-C1b-C3-C3cg-C45c	D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd	D1-D4-D1as-D1bb-D1mx-D6-D1at-D1ax	D1-D1as-D1bb-D4-D1bd-D1ba-D1mw-D6-D1ax	D1/D1ba-D1as-D1at-D4-D6-D1ax-D1bb	D1-D1as-D1at-D4-D6-D1bb-D1ba-D1ax-D1bd	D4	D1dy	D1/D1as-D4	D1	D1bd	D1/D1ba-D1as-D1bb-D1at-D4-D6-D1bd-D1ax-D1ea	D1-D1as-D1ba-D1bb-D1ax-D4	D1-D1as-D1ba-D1dy-D4-D1at-D1bd-D1ea-D1bb	D1-D17d-D1r-D17e-D17c	D1at-D1-D1as	D1/D4/D6-D17d-D17e-D1r-D17c	D1my	D1mz	D1na	D1mw	D1ig	D1nb	D1as/D1-D4-D1at-D1ba-D6	D1-D1as-D4-D1at-D6-D1ax-D1ba	D1-D17d-D4-D1r-D17e-D17c-D17j	D1/D1as-D1ba-D1bb-D4-D6-D1ax-D1at-D1ea-D1dy	D1-D1as-D1ba-D1bb-D1bd-D4-D1at-D1dy-D1ax-D1ea	F3.1/F3g	F3aa
172031	ML5961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9299722836192682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172030	ML5960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9234918327531465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172128	ML6058	0	0	0	0	0	0	0	0	0	0	0	0.009853447318752082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9221716442766738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171966	ML5896	0	0	0	0	0	0	0	0	0	0	0	0.008173379193017494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9211139465216909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172115	ML6045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9198807254240602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172076	ML6006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9189648832505976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172072	ML6002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9185036966696059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171964	ML5894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9184615384615384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171924	ML5854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9177426072469804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172096	ML6026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9169924489905211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172095	ML6025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9168394961808892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172032	ML5962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9154638476655147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172104	ML6034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9151654796816087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171923	ML5853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9146699266503667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172091	ML6021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9138729685169191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172105	ML6035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9136988128584766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171902	ML5832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9125910174624654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172113	ML6043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9125096326740304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171943	ML5873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9124414145717937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172074	ML6004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9123529956477452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172107	ML6037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9115255586512765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
