sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
D1-D1as-D1ba-D1bb-D1ax-D4,494094,-0.23406930160082534,-0.23216278811995322,-0.004085740982746643,-0.020236833617453234,0.04179188327326215,-0.0030627115617569544,0.0,0.0,1.3219108614826032e-16,-2.5573926799654803e-16,0.017106427165193026,0.08053609663191891,-0.147410960690122,-0.07866522185444297,-0.042131484140904965,0.015032821290018811,-0.03224091221490187,0.04304075497202242,-0.01377122323901285,0.008693743485125536,-0.003462484774277447,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1ba-D1dy-D4-D1at-D1bd-D1ea-D1bb,494096,-0.25090561991506416,-0.1330040126014064,-0.05556614627163008,-0.0235612694437822,-0.04255180518929875,-0.007377709127261011,3.184578100205166e-16,-5.25538095997904e-16,7.974646836645227e-16,7.7005269021177e-17,0.06473324402752752,0.017048263209152297,-0.09667236929437399,0.09580401577289611,0.02527319672240091,-0.03403930906085337,-0.023326433658763853,-0.01142658354594213,0.01978119147821765,0.012043010938913534,0.005504398012869315,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1bb-D4-D1bd-D1ba-D1mw-D6-D1ax,494098,-0.2117154379915334,-0.1674350225529243,0.12683839725350893,0.07648599920785015,-6.901320307679619e-06,-0.017170442732554986,1.8196327267176668e-16,-5.923717349988518e-16,1.2968931945148853e-15,-5.264787697154147e-16,-0.12950678621006176,0.06162262837882911,-0.013458336031917846,-0.12254104267957477,0.009652036938580803,-0.04004515169391556,0.02447521786560346,0.004043667952897766,0.007351391351202644,-0.005357961641024585,0.001922400246860055,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1as-D1bb-D1mx-D6-D1at-D1ax,494099,-0.2496909775563611,-0.014609990487862611,0.08129841663472386,-0.015621364686947137,0.01821000097469631,0.002411840354808331,5.761819143204433e-17,2.1501615324749614e-17,1.1309172427221477e-16,2.116909133081897e-17,-0.1225113843257035,-0.020489525940815965,0.10610424005546347,0.001382119362251797,-0.11869661502348611,0.03924218942134706,-0.03188330608168268,-0.01701319832375351,0.025557161662540604,0.0010612321994558909,0.00450879802914398,0.0,0.0,0.0,0.0,0.0,0.0
D1-D17d-D1r-D17e-D17c,494110,-0.11440294257322785,0.4255002569375715,-0.1688200880773924,0.03533602478446118,-0.02691728919316729,-0.00858114429373942,2.0215155522339827e-16,-3.8046511159619786e-16,8.326397090648093e-16,-2.016797512082848e-16,0.007401932544622624,-0.029125671122310084,-0.10579541981754721,-0.007641370277875536,-0.024113030703720336,0.01017535903559886,0.04287844600706413,-0.02078636104549793,-0.018199744373984098,0.002017581687161388,-0.0009976157200657508,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1as-D4,494126,-0.2304240875765668,0.19224896839276864,0.03485925078248568,-0.005012258753913284,-0.005446185473734342,-0.001914913828304483,1.4258158502728686e-18,-2.446271546671431e-16,3.0873784261786963e-16,3.7760293675255964e-17,0.10057625295663518,0.10816344420878718,-0.007419737322327947,-0.058281994299243675,0.0052196471448735186,-0.019915024859109294,0.019574785763284128,-0.04487988459262719,0.006678504917477764,-0.0077842906846831645,0.008420304771280234,0.0,0.0,0.0,0.0,0.0,0.0
D1at-D1-D1as,494127,-0.19433894610510521,-0.1434914191158859,-0.12145837835201001,-0.019532301030273404,0.05028741263451292,-0.004549366604849657,4.6737847338882896e-17,-3.5000991744788914e-17,2.0889919520246386e-16,-4.381578580294299e-16,0.289023895693631,-0.14361012792757893,0.05250382638557691,-0.027419092599575354,-0.056440120067193636,0.012604011785253291,0.02361916466516021,0.008118420338177966,-0.00810803888224647,-0.002352208681913388,-0.0009542514530309238,0.0,0.0,0.0,0.0,0.0,0.0
D1,494142,-0.10518554403178709,0.3573241402374262,-0.18682852187067048,0.03361013218846706,-0.01709679974651309,-0.008626097418551509,1.7952625153030335e-16,-3.142475958385597e-16,6.964574564848091e-16,6.281858958807126e-18,0.0963464922532128,0.21097532011525588,0.10143927483706938,0.01871875641103166,-0.005920222535716379,-0.012900178479374429,-0.033347003026273456,0.02956052280792905,0.0012255897220329703,0.005622917193992029,-0.0036737271439166302,0.0,0.0,0.0,0.0,0.0,0.0
D4,494143,0.32824849672812767,0.09830899006611535,0.6409380522878151,-0.08510808840455972,-0.04352774100789468,0.024768460450680395,-3.381240254639272e-16,6.58835680147579e-16,-1.8837212189056858e-15,7.306007333725628e-16,0.12671362833466182,0.04912199226903859,-0.018807627671196488,0.03327658181204469,0.003670236455365119,0.025777157838050672,0.011637197799205756,0.010099951079573732,-0.0006432234307855375,0.0003656283803941463,-0.0013798594222239134,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D6-D17d-D17e-D1r-D17c,493709,-0.1511681128544348,0.30097864633633487,0.16560158996126614,-0.009614334644858719,-0.027101556976730553,0.004709864347467285,9.234868505975454e-17,6.838698032105546e-17,-3.4659814114502524e-16,2.041937990305271e-16,-0.09006712386088,-0.1107808118045289,0.005628326078510935,0.021670261977812834,-0.04499628017406913,-0.08208179692062754,-0.009092047232195592,-0.0029750973758247163,-0.021507585616435697,0.006074749445180144,-0.002956144093297829,0.0,0.0,0.0,0.0,0.0,0.0
