sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
D1-D1as-D1ba-D1bb-D1ax-D4,494094,-0.003972600624861026,-0.021026735581785735,-0.0133731198668943,0.009289331873850018,0.0038308241982205862,0.004751873628408613,2.403696430051143e-05,0.0034244002986162036,0.004334334626305594,0.011486879497024387,-0.001824757635422708,-0.0038481302643194196,0.003600252923303138,-0.0010952602284826191,6.407464609114258e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1ba-D1dy-D4-D1at-D1bd-D1ea-D1bb,494096,-0.007841394991333605,-0.017985170972641767,-0.020305987935220194,-0.00038662313510568044,0.005012591245957064,0.01941685979723322,0.0005823066021113081,-0.00021684032796059685,0.008840893691148244,-0.002596634323697414,0.004356821524266079,-0.0018917260977563775,0.0003190738537224807,0.00033704315030147773,-0.0009271114098037542,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D1as-D1bb-D4-D1bd-D1ba-D1mw-D6-D1ax,494098,-0.00996087097418889,-0.019894747921348176,-0.03397975003430987,-0.0011938828827411346,-0.0027673496432185567,-0.0046207919099307765,-0.009065437002704449,0.0007317362760112596,-0.0033343862377310284,0.007282674520760473,-0.0012364567832765852,0.0058803449228051275,0.00026211751939636633,0.0013285311511933772,-0.000553511021195338,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D4-D1as-D1bb-D1mx-D6-D1at-D1ax,494099,-0.007834833370899654,0.00613536476987302,-0.01528373624332985,-0.013725238445006376,-0.00048105764458278516,-0.007720081891946355,0.0011926986436218829,0.0003427919665524929,-0.008806058542976544,0.004647036003344003,0.008656207816809612,-0.007633338753268129,-0.0006516519262531262,0.0019554617540163714,-0.00034584487884509174,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1-D17d-D1r-D17e-D17c,494110,0.026026097854040933,0.08906092728292206,0.012899324638282953,0.0345496372230066,0.005735521707438006,0.009684341719077722,-0.0012465687210043205,0.0009689436053158599,0.0014598432596085122,-0.00070760306105876,0.00596941763261112,0.0033728052058098175,0.0009792035189690308,0.00027572287203689295,0.00016497435334870243,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1as-D4,494126,0.014764911846698753,0.005486967714558488,0.006919786797316833,-0.0009631174040358297,0.0002549450347060757,-0.005966578615822348,0.00037159614931901014,-0.0012480858720492632,0.002348895065979637,-0.0005176235480941887,-0.004809165850781324,-0.0025101879156562393,-0.004128036899210241,0.0014395042613346632,-0.00028523090800664766,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1at-D1-D1as,494127,0.014815654010182689,-0.002398840707307185,0.020928180344090996,0.011047943871164834,0.0030127599794801795,0.002650427850536596,-0.0007750021326015331,-7.451143757939566e-05,0.004377322826261117,-0.0009887786533331834,0.002017739005409347,0.003963326272939444,0.0021568938401895226,0.0018880657527016202,-0.00021259289340618527,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1,494142,0.0042997324865137205,0.009555290986098228,0.032244884857523,0.012570337114438664,-0.0040419780203908556,-0.0026476777831137624,6.474162690281064e-05,-0.0021992553147818852,0.002787403934884849,-0.0034220098277029545,0.004473553464198009,-0.002349937268850339,-0.002846078225167315,-0.002303237975719169,0.00015018303885527118,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D4/D6-D17d-D17e-D1r-D17c,493709,0.02283683423605386,0.07430369989104318,-0.016839066526247934,-0.00201673500939653,-0.004985689273361769,-0.021534788639530785,0.0018316019057534679,-0.0038947100417775276,-0.011246469412173297,-0.00442641711125952,0.0038664254662248,0.003161880999196063,0.0005906199886594255,-0.0005601908440879,-0.00013204496487469248,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1/D1ba-D1as-D1at-D4-D6-D1ax-D1bb,493774,0.006845249865298973,1.8942180365301002e-05,-0.011967597673157524,-0.006066509458403273,-0.0025152514215441932,-0.006679010473166782,0.001124646068109208,0.00012351058133888183,-0.006636056072947065,-0.0016792322373188932,7.180510344841347e-05,0.00018399478928046386,-0.002198522752211024,0.0004473426304590501,-0.0006772009306035841,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
