"ID","symbtypes","relative","absolute","colony","Region","Locality","replicate","Site","Season","Qubit..ng.uL.","species","clade","symbtypes_s","species_colony"
"ML5904","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",31536,0.842870506481358,203,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Mogomogo","Upwelling","34","P.meandrina","D","D1","P.meandrina 203"
"ML5869","C1d-C1mt-C42.2-C1-C42em",231,0.0470276872964169,166,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling",">60","P.meandrina","C","C1d","P.meandrina 166"
"ML5869","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",4132,0.841205211726384,166,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Upwelling",">60","P.meandrina","D","D1","P.meandrina 166"
"ML6344","C1d/C1-C1mt-C42.2-C3cg-C1b-C3cw",728,0.0758649437265527,209,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Non-upwelling","174","P.meandrina","C","C1d","P.meandrina 209"
"ML6344","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",8053,0.839203834931221,209,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Non-upwelling","174","P.meandrina","D","D1","P.meandrina 209"
"ML5862","C1d-C1mt-C1nq-C42.2-C1-C42em",2396,0.0913005372861335,159,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling",">60","P.verrucosa","C","C1d","P.verrucosa 159"
"ML5862","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",22019,0.839042792363678,159,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Contadora","Upwelling",">60","P.verrucosa","D","D1","P.verrucosa 159"
"ML6008","C1d-C1mt-C1nq-C42.2-C1-C42em",1779,0.0809593155547465,157,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","45.8","P.meandrina","C","C1d","P.meandrina 157"
"ML6008","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",18389,0.836852644033858,157,"Eastern Pacific Panama","Las Perlas","Branch replicate 3/3","Contadora","Wet","45.8","P.meandrina","D","D1","P.meandrina 157"
"ML6274","C1d/C42a/C42.2-C1mt",203,0.0284154535274356,216,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Machete","Non-upwelling","500","P.verrucosa","C","C1d","P.verrucosa 216"
"ML6274","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",5973,0.836086226203807,216,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Machete","Non-upwelling","500","P.verrucosa","D","D1","P.verrucosa 216"
"ML6113","C1d-C42.2-C1-C1nr",614,0.0539637897697311,212,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Wet","121","P.meandrina","C","C1d","P.meandrina 212"
"ML6113","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",9487,0.833802074178239,212,"Eastern Pacific Panama","Coiba","Branch replicate 3/3","Canales","Wet","121","P.meandrina","D","D1","P.meandrina 212"
"ML6112","C1d/C1-C42.2-C1b",391,0.0419662981646453,212,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Canales","Wet","204","P.meandrina","C","C1d","P.meandrina 212"
"ML6112","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",7732,0.829880862938714,212,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Canales","Wet","204","P.meandrina","D","D1","P.meandrina 212"
"ML6102","C1d-C42.2-C1-C1b-C3cg-C3cw",674,0.0588594882543009,209,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Canales","Wet","99.9","P.meandrina","C","C1d","P.meandrina 209"
"ML6102","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",9496,0.829272552615492,209,"Eastern Pacific Panama","Coiba","Branch replicate 1/3","Canales","Wet","99.9","P.meandrina","D","D1","P.meandrina 209"
"ML6028","C1d/C1",599,0.0394260514710722,169,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","600","P.meandrina","C","C1d","P.meandrina 169"
"ML6028","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",12586,0.828407819390509,169,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Wet","600","P.meandrina","D","D1","P.meandrina 169"
"ML6184","C1d-C1mt-C42.2-C1-C42em",319,0.032744816259495,156,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","33.2","P.meandrina","C","C1d","P.meandrina 156"
"ML6184","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",8065,0.827858755902279,156,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Contadora","Non-upwelling","33.2","P.meandrina","D","D1","P.meandrina 156"
"ML6234","C1d-C1mt-C42.2-C1-C42em",363,0.0403064623584277,188,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Non-upwelling","540","P.meandrina","C","C1d","P.meandrina 188"
"ML6234","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",7429,0.824894514767933,188,"Eastern Pacific Panama","Las Perlas","Branch replicate 1/3","Saboga","Non-upwelling","540","P.meandrina","D","D1","P.meandrina 188"
"ML5884","C42a/C1d-C1mt-C42.2-C1-C1b",1823,0.0616565765887645,176,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","44.3","P.meandrina","C","C42a","P.meandrina 176"
"ML5884","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",24365,0.824060608110393,176,"Eastern Pacific Panama","Las Perlas","Branch replicate 2/3","Mogomogo","Upwelling","44.3","P.meandrina","D","D1","P.meandrina 176"
"ML6103","C1d-C42.2-C1-C1b-C3cg-C3cw",506,0.0504738154613466,209,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Canales","Wet","402","P.meandrina","C","C1d","P.meandrina 209"
"ML6103","D1/D1as/D1ba-D1bb-D4-D1at-D1ax-D6-D1ea-D1dy-D1bd",8249,0.82284289276808,209,"Eastern Pacific Panama","Coiba","Branch replicate 2/3","Canales","Wet","402","P.meandrina","D","D1","P.meandrina 209"
