sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
172147	ML6077	6077_S345_L001_R1_001.fastq.gz	4d465b35cf945642147a37e78e6231b4165161069478bb8bf2368040eb92d703	6077_S345_L001_R2_001.fastq.gz	59d931e9b554bc66dc0ced7f038bcc5eae6a1ca5e7e7624994e7abfd69ab8c1e	899	20231006T210441_mleray	49088	36646	1387	36646	1387	0	0	0	0	34354	40	0	0	906	390	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172262	ML6174	6181_S181_L001_R1_001.fastq.gz	7f6a62925592e51be01ff4a31e8ab9c90639f0eef736162509e745719e78ff0f	6181_S181_L001_R2_001.fastq.gz	0063f2fbf4ad7adcb37f006f68a38516dc44ee38872516ac218756e63e25cf0b	899	20231006T210441_mleray	29962	9678	486	9678	486	0	0	0	0	9064	42	0	0	165	61	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.59378000	-81.71281000	2022	NoData
172367	ML6279	6279_S278_L001_R1_001.fastq.gz	813ab824cf7928e438a896d5820211132bb1ba75d468f891c0785c448acac093	6279_S278_L001_R2_001.fastq.gz	f4e49119d1d833959cbfd32669f8141cd273de12e34e834ec1de943176141345	899	20231006T210441_mleray	22544	7667	349	7667	349	0	0	0	0	7259	63	0	0	128	248	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.63956000	-81.74150000	2022	NoData
172385	ML6297	6297_S304_L001_R1_001.fastq.gz	24dbd0b18a2c06f6c3a5ad44c92cb65eef8bcbe49f74e9f11391d2ae62182c13	6297_S304_L001_R2_001.fastq.gz	2b5c1413f0e72dd491fa2e98ae0988d5e51f0df26497e421f0218b9b93fad4a5	899	20231006T210441_mleray	13793	4664	201	4664	201	0	0	0	0	4502	37	0	0	112	80	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.63956000	-81.74150000	2022	NoData
172443	ML6355	6355_S335_L001_R1_001.fastq.gz	8c2466c686c151d40321eb2f79e057a297523b9b43f6672d638821091b2a0b5c	6355_S335_L001_R2_001.fastq.gz	8a241e2a16bf24f1fdcfc335dd2e0d7a1cec5bf72b451eff71dbb6b52f659334	899	20231006T210441_mleray	32278	13761	643	13758	642	3	1	0	0	12611	46	0	0	117	382	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.69594000	-81.63292000	2022	NoData
172358	ML6270	6270_S265_L001_R1_001.fastq.gz	3b2f643f15c4a820694d8f41760ea7b1f9f63d196ee97cffb3d511dc82927add	6270_S265_L001_R2_001.fastq.gz	8717508034993d8c5dc225c9dc923ae500dcd0eaf2b73f52462b174cabd22336	899	20231006T210441_mleray	17223	7337	341	7337	341	0	0	0	0	6864	54	0	0	123	22	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.63956000	-81.74150000	2022	NoData
172149	ML6079	6079_S369_L001_R1_001.fastq.gz	9be722b3c54a941e7e8366aa2fe987b9828dac859585d2ef9cac381fd9911929	6079_S369_L001_R2_001.fastq.gz	f79a89bdbf205539f4b97f421d7ab34f627415b0b9e0542fe6ad153f7da7d268	899	20231006T210441_mleray	42262	31846	1150	31846	1150	0	0	0	0	29909	39	0	0	762	240	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172295	ML6207	6207_S208_L001_R1_001.fastq.gz	42c38caeb1cb8ec0edea8f33c58e730e4e00e545626f5adfe38c6716bf55e44e	6207_S208_L001_R2_001.fastq.gz	cacbdc3f0c598c6d17137edda8761025b336459e0c7fd0e825a4a5c2a80fdcf0	899	20231006T210441_mleray	22246	8192	347	8192	347	0	0	0	0	7752	37	0	0	811	120	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172283	ML6195	6195_S254_L001_R1_001.fastq.gz	e2b40c3e4fd7efda689adba9340313fe1800a8ec93e8e4ad7298d15974f8b03c	6195_S254_L001_R2_001.fastq.gz	d4d823456fef23468554cb1568497a7be7362e85272ed101d695b2c44aab752c	899	20231006T210441_mleray	20831	8177	459	8177	459	0	0	0	0	7840	55	0	0	130	152	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172442	ML6354	6354_S323_L001_R1_001.fastq.gz	92668a6ac8bb3e06c64fef55b65d559e38977be5185874cc5086265d6eb4c018	6354_S323_L001_R2_001.fastq.gz	41386f36d3f9910ee53b7f41e6793ab0be2e995c4ec2162c99a6f4da32863d3b	899	20231006T210441_mleray	29024	13087	630	13087	630	0	0	0	0	12169	47	0	0	165	446	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.69594000	-81.63292000	2022	NoData
172231	ML6143	6143_S139_L001_R1_001.fastq.gz	e4302e48e441bb12fc91a73bd4c9408e4f1a95000e498fd49b94427f11a3fb3c	6143_S139_L001_R2_001.fastq.gz	b16385ed8c46f9f7aba64a7803d4e1714407bebd847ecdafe4acb7666cee0ddf	899	20231006T210441_mleray	7150	2579	127	2579	127	0	0	0	0	2473	44	0	0	63	109	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.63956000	-81.74150000	2022	NoData
172229	ML6141	6141-0_S115_L001_R1_001.fastq.gz	8db6a51d6d41f86dd6159fc38491f8772906c9449efa014543a51e2fc57bc1ca	6141-0_S115_L001_R2_001.fastq.gz	d773eac161f7fb5f1cd5d554e7d62fbf95a16235205fcdae7a65168ae6e3c10d	899	20231006T210441_mleray	8031	3175	147	3175	147	0	0	0	0	3086	48	0	0	56	109	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.63956000	-81.74150000	2022	NoData
172121	ML6051	6051_S318_L001_R1_001.fastq.gz	604ac4c09aa7bdcf27ec4aa4e51166b0f10127c295ef4df55253c127352a0824	6051_S318_L001_R2_001.fastq.gz	b4ffa0d61922904ae133a2e93446bf2dd6ac085f3ad0509013f70ce4507846ab	899	20231006T210441_mleray	36554	26796	961	26796	961	0	0	0	0	25442	46	0	0	251	86	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
172422	ML6334	6334_S273_L001_R1_001.fastq.gz	f1459f7f98a4aa6cb3ee8b9c91e06996184670dae9e5aed9595c70850a079f03	6334_S273_L001_R2_001.fastq.gz	53d07c55666479a04b92a3d6afa39878cb9d69255d7521764a26e1a7029f92c8	899	20231006T210441_mleray	35129	12750	604	12747	603	0	0	3	1	12160	45	0	0	123	216	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.69594000	-81.63292000	2022	NoData
172328	ML6240	6240_S224_L001_R1_001.fastq.gz	8471cf5de5a3185c410330808567c963c8db3e851cc80e496d8b9d824fd643ba	6240_S224_L001_R2_001.fastq.gz	5242d32be5ea5af59abb128266848be8d724b7c53660754ea925da1cd7687ab8	899	20231006T210441_mleray	26675	12779	585	12779	585	0	0	0	0	12097	40	0	0	103	50	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172277	ML6189	6189_S182_L001_R1_001.fastq.gz	6faadb54ac9b01a41ed7d43fc524da6479c77d98567bd25add42ee00d6a4780c	6189_S182_L001_R2_001.fastq.gz	01073d9f8c693fbfac8c5df6d7f72e0c4da95118068da1f00d9cf67200fc328e	899	20231006T210441_mleray	33221	12770	647	12767	646	3	1	0	0	11985	50	0	0	278	0	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.63245300	-79.02836900	2022	NoData
172148	ML6078	6078_S357_L001_R1_001.fastq.gz	02a8f8ab6de60a84371d54fbb76f443b06fb16b8b11151231d58f959deede99d	6078_S357_L001_R2_001.fastq.gz	8fc82fc7da5febde98e8c529ddf62a66e001fd4cd4ea6f5a4f5d19ae597df733	899	20231006T210441_mleray	48015	26622	1156	26622	1156	0	0	0	0	25415	33	0	0	605	83	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172430	ML6342	6342_S274_L001_R1_001.fastq.gz	912b74c34e020be3df079487dd56f5edb86b815a557841a072d1967c9921738f	6342_S274_L001_R2_001.fastq.gz	1d5cafc8cfb30c5412b74baeee56b5bc93d7dc35596b677b202be5dee12742ed	899	20231006T210441_mleray	30360	14274	637	14271	636	3	1	0	0	13488	42	0	0	162	222	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	7.69594000	-81.63292000	2022	NoData
172152	ML6082	6082_S310_L001_R1_001.fastq.gz	b657e62e7ac6f7fb31059e2dcbb930f9f07938e6b31a00fd9430f19a06abb042	6082_S310_L001_R2_001.fastq.gz	ce1c5f4e14552a0123f49cde490d86d79e203c520cc899f1eb081db5177d5134	899	20231006T210441_mleray	42437	27569	1087	27569	1087	0	0	0	0	26057	40	0	0	240	105	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.57446600	-79.01645400	2022	NoData
172129	ML6059	6059_S319_L001_R1_001.fastq.gz	5975392da5e9aeb06ed1afb6d29acd62bd8c578d21003c3ba3696cd1cdd24028	6059_S319_L001_R2_001.fastq.gz	41ffe7da419e7c8a5c4dfc9314a924ba6b81f17629988d5b6c635eb7848693cf	899	20231006T210441_mleray	45393	28232	1269	28232	1269	0	0	0	0	26401	45	0	0	414	98	0	0	0	0	0	Coral fragment	Cnidaria	Hexacorallia	Scleractinia	Pocilloporidae	Pocillopora	sp.	8.62800400	-79.05456900	2022	NoData
